object_type,condition,label,frame_number,timestamp,point_id,x,y,z,range,velocity_radial,velocity_x,velocity_y,velocity_z,velocity_magnitude,is_moving,motion_type,snr,noise,peak_value,rcs,azimuth,elevation,doppler_idx,range_idx,condition_confidence
ball,moving,ball_moving,5,11.13569699,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,5,11.13569699,3,0.01211959334408539,7.43599012341041,0.0,7.436,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,20.128,10.0,50.128,-4.786364408607163,0.0933837890625,0.0,1084,169,1.0
ball,moving,ball_moving,5,11.13569699,4,0.0,0.044,0.0,0.044,8.820000000000007,0.0,8.820000000000007,0.0,8.820000000000007,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,914,1,1.0
ball,moving,ball_moving,5,11.13569699,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,6,11.38570417,0,-0.08250388003568519,13.55174885798062,0.0,13.552,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.896000000000001,10.0,37.896,-6.6961488157359454,-0.34881591796875,0.0,47,308,1.0
ball,moving,ball_moving,6,11.38570417,1,0.0,1.98,0.0,1.98,4.390000000000001,0.0,4.390000000000001,0.0,4.390000000000001,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,803,45,1.0
ball,moving,ball_moving,6,11.38570417,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,6,11.38570417,3,0.012191306914168734,7.479990064969051,0.0,7.4799999999999995,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,20.04,10.0,50.04,-4.773231774717857,0.0933837890625,0.0,1084,170,1.0
ball,moving,ball_moving,6,11.38570417,4,0.0,0.044,0.0,0.044,8.560000000000002,0.0,8.560000000000002,0.0,8.560000000000002,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,912,1,1.0
ball,moving,ball_moving,6,11.38570417,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,7,11.63569267,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.984000000000002,10.0,37.984,-6.664227975819493,-0.34881591796875,0.0,47,307,1.0
ball,moving,ball_moving,7,11.63569267,1,0.0,1.98,0.0,1.98,4.780000000000001,0.0,4.780000000000001,0.0,4.780000000000001,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,806,45,1.0
ball,moving,ball_moving,7,11.63569267,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,7,11.63569267,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,0.0014994655562881592,0.9199987780443379,0.0,0.9200000000000159,True,slow,19.688000000000002,10.0,49.688,-4.726487983733286,0.0933837890625,0.0,1084,174,1.0
ball,moving,ball_moving,7,11.63569267,4,0.0,0.044,0.0,0.044,8.560000000000002,0.0,8.560000000000002,0.0,8.560000000000002,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,912,1,1.0
ball,moving,ball_moving,7,11.63569267,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,8,11.88569681,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.984000000000002,10.0,37.984,-6.664227975819493,-0.34881591796875,0.0,47,307,1.0
ball,moving,ball_moving,8,11.88569681,1,0.0,1.98,0.0,1.98,4.780000000000001,0.0,4.780000000000001,0.0,4.780000000000001,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,806,45,1.0
ball,moving,ball_moving,8,11.88569681,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,8,11.88569681,3,0.01290844261500219,7.919989480555467,0.0,7.92,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,19.16,10.0,49.16,-4.673025268633452,0.0933837890625,0.0,1084,180,1.0
ball,moving,ball_moving,8,11.88569681,4,0.0,0.044,0.0,0.044,9.079999999999998,0.0,9.079999999999998,0.0,9.079999999999998,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,916,1,1.0
ball,moving,ball_moving,8,11.88569681,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,9,12.135692955,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.808,10.0,37.808,-6.7282501066768745,-0.34881591796875,0.0,47,309,1.0
ball,moving,ball_moving,9,12.135692955,1,0.0,1.98,0.0,1.98,4.909999999999997,0.0,4.909999999999997,0.0,4.909999999999997,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,807,45,1.0
ball,moving,ball_moving,9,12.135692955,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,9,12.135692955,3,0.012334734054335427,7.567989948086335,0.0,7.568,0.9200000000000159,0.0014994655562881594,0.9199987780443378,0.0,0.9200000000000159,True,slow,19.864,10.0,49.864000000000004,-4.748715831759,0.0933837890625,0.0,1084,172,1.0
ball,moving,ball_moving,9,12.135692955,4,0.0,0.044,0.0,0.044,8.689999999999998,0.0,8.689999999999998,0.0,8.689999999999998,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,913,1,1.0
ball,moving,ball_moving,9,12.135692955,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,10,12.385692685,0,-0.0835753589971876,13.727745596395954,0.0,13.728,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.5440000000000005,10.0,37.544,-6.8256251651852295,-0.34881591796875,0.0,47,312,1.0
ball,moving,ball_moving,10,12.385692685,1,0.0,1.98,0.0,1.98,5.170000000000002,0.0,5.170000000000002,0.0,5.170000000000002,True,fast,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,809,45,1.0
ball,moving,ball_moving,10,12.385692685,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
